Name in documentation	Qty	Full Name	Supplier 1	Part No	Link
12V 80W power supply	1	12V 80W power supply	Conrad	GSM90A12-P1M	https://www.conrad.fr/fr/p/alimentation-de-table-a-tension-fixe-mean-well-gsm90a12-p1m-n-a-6-67-a-80-w-1-pc-s-1838030.html
16awg/1.5mm² black wire	36 cm	16AWG/1.5mm² Black Wire	Conrad	29129	https://www.conrad.fr/fr/p/helukabel-29129-fil-de-cablage-h07v-k-1-x-1-50-mm-noir-marchandise-vendue-au-metre-1524579.html
16awg/1.5mm² red wire	36 cm	16AWG/1.5mm² Red Wire	Conrad	29133	https://www.conrad.fr/fr/p/helukabel-29133-fil-de-cablage-h07v-k-1-x-1-50-mm-rouge-marchandise-vendue-au-metre-1524578.html
Allen wrench	1	2.5 mm Allen wrench	Conrad	817257	https://www.conrad.fr/fr/p/wera-354-pour-l-atelier-cle-coudee-pour-vis-a-6-pans-creux-taille-metrique-2-5-mm-longueur-de-la-lame-75-mm-817257.html
Arduino Uno board	1	Arduino Uno board	Conrad	A000066	https://www.conrad.fr/fr/p/carte-arduino-uno-rev3-version-dip-atmega328-1275279.html
blade receptacle connector	4	Blade Receptacle Connector	Conrad	396108S	https://www.conrad.com/p/vogt-verbindungstechnik-396108s-blade-receptacle-connector-width-48-mm-connector-thickness-08-mm-180-insulated-re-732370
cable ties	4	Cable ties	Conrad	1577931	https://www.conrad.fr/fr/p/tru-components-1577931-serre-cable-120-mm-2-mm-blanc-stabilise-a-la-chaleur-100-pc-s-1577931.html
CNC shield	1	CNC Shield	Conrad	ARD-CNC-Kit1	https://www.conrad.fr/fr/p/joy-it-ard-cnc-kit1-convient-pour-cartes-arduino-arduino-uno-1-pc-s-1646889.html
crimping pliers	1	Crimping Pliers	Conrad	841453	https://www.conrad.fr/fr/p/c-k-430024-pince-a-sertir-pour-cosses-isolees-pour-connecteurs-males-1-5-a-6-mm-841453.html?searchType=SearchRedirect
DC connector socket	1	DC connector socket	Conrad	93038c237	https://www.conrad.fr/fr/p/connecteur-basse-tension-embase-femelle-tru-components-93038c237-interieur-5-5-mm-2-5-mm-1-pc-s-1497959.html?searchType=SearchRedirect
fan	1	12V fan	Conrad	171007	https://www.conrad.fr/fr/p/sunon-ee40101s1-1000u-999-ventilateur-axial-12-v-dc-13-93-m-h-l-x-l-x-h-40-x-40-x-10-mm-1969356.html
FDM 3D printer	1	FDM 3D printer			
ferrule	1	Ferrules	Conrad	2620348	https://www.conrad.com/p/quadrios-22c428-ferrule-15-mm-partially-insulated-black-1-set-2620348
heat-shrink tube	30 mm	Heat-shrink tubes	Conrad	HAS07	https://www.conrad.fr/fr/p/toolland-has07-assortiment-de-gaines-thermoretractables-noir-1-set-2574855.html?searchType=SearchRedirect
jumper wires	5	Jumper wires	Conrad	MIKROE-511	https://www.conrad.fr/fr/p/mikroelektronika-mikroe-511-1-pc-s-1221396.html
kill switch	1	Kill switch	Conrad	1233788	https://www.conrad.fr/fr/p/deca-a20b-v4e20r-arret-d-urgence-avec-element-de-contact-240-v-ac-6-a-2-no-t-ip65-1-pc-s-1233788.html
M3x12mm screws	4	M3 x 12 mm screws	Conrad	888739	https://www.conrad.fr/fr/p/vis-cylindrique-toolcraft-888739-1-pc-s-m3-12-mm-tete-cylindrique-6-pans-interieurs-acier-inoxydable-n-a-888739.html
M3x6mm screws	8	M3 x 6 mm screws	Conrad	888735	https://www.conrad.fr/fr/p/vis-cylindrique-toolcraft-888735-1-pc-s-m3-6-mm-tete-cylindrique-6-pans-interieurs-acier-inoxydable-n-a-888735.html
noise filtering PCB	1	Noise filtering PCB			
PLA	150 g	PLA	Conrad	PMMA-1000-001	https://www.conrad.fr/fr/p/maertz-pmma-1000-001-polyactic-acid-filament-pla-1-75-mm-750-g-noir-1-pc-s-2235041.html
pre-fab braid	1	Pre-fab braid	Conrad	1570820	https://www.conrad.fr/fr/p/cordon-fil-a-carte-assemble-tru-components-741213-nbr-total-de-poles-2-pas-2-54-mm-1-pc-s-1570820.html
small flat screwdriver	1	Flat Screwdriver	Conrad	05117997001	https://www.conrad.fr/fr/p/tournevis-pour-vis-a-fente-0-35-mm-x-2-5-mm-wera-2035-05117997001-longueur-de-la-lame-40-mm-1-pc-s-1668700.html
soldering iron	1	Soldering Iron			
toggle switch	1	Toggle Switch	Conrad	1587832	https://www.conrad.fr/fr/p/interrupteur-a-bascule-tru-components-tc-r13-66b2-02-b-b-1587832-12-v-dc-16-a-1-x-off-on-a-accrochage-1-pc-s-1587832.html
USB B cable	1	USB B cable	Conrad	AK-300105-005-S	https://www.conrad.fr/fr/p/digitus-cable-usb-usb-2-0-usb-a-male-usb-b-male-0-50-m-noir-ak-300105-005-s-678048.html
wagos	2	5 pins Wagos	Conrad	1188438	https://www.conrad.fr/fr/p/borne-de-raccordement-wago-221-415-1-flexible-0-14-4-mm-rigide-0-2-4-mm-nombre-de-poles-num-5-transparent-orange-1188438.html
wire stripper	1	Wire stripper	Conrad	51000005	https://www.conrad.fr/fr/p/denudeur-de-fil-weicon-tools-no-5-51000005-0-2-a-6-mm-awg-10-a-24-1-pc-s-804037.html
